abandon,버리다; 포기하다
bleed,피를 흘리다
blend,섞다; 혼합하다
bless,축복하다
blind,눈이 먼; 맹목적인
block,블록; 구역; 막다
blood,피; 혈액
bloom,꽃이 피다; 개화
blow,불다; 강타; 타격
blue,파란; 우울한
board,판자; 게시판; 탑승하다
boast,자랑하다; 뽐내다
boat,배
body,몸; 신체
boil,끓다; 끓이다
bold,대담한; 굵은
bomb,폭탄; 폭파하다
bond,유대; 속박; 채권
bone,뼈
bread,빵
break,부수다; 휴식; 고장나다
breakfast,아침식사
breath,숨; 호흡
breathe,숨쉬다; 호흡하다
breed,번식하다; 기르다; 품종
breeze,산들바람; 미풍
brick,벽돌
bridge,다리; 연결하다
brief,간단한; 짧은; 요약
bright,밝은; 똑똑한
brilliant,훌륭한; 매우 밝은; 눈부신
bring,가져오다; 데려오다
broad,넓은; 폭넓은
broadcast,방송하다; 방송
broccoli,브로콜리
broken,부서진; 고장 난
brother,형제
brown,갈색의
brush,솔; 빗; 닦다
bubble,거품
budget,예산; 비용
buffalo,들소; 버팔로
build,짓다; 만들다
building,건물; 빌딩
bulb,전구; 식물의 구근
bulk,대부분; 큰 덩어리
bullet,총알
bunch,묶음; 다발
bundle,묶음; 꾸러미
burden,부담; 짐
bureau,사무국; 책상; 관청
burn,타다; 태우다
burst,터지다; 파열
bury,묻다; 매장하다
bus,버스
bush,덤불; 관목
business,사업; 업무; 일
busy,바쁜
but,그러나; ~을 제외하고
butter,버터
button,단추; 버튼
buy,사다; 구입하다
buzz,윙윙거리다; 소문
by,~옆에; ~까지; ~함으로써
cabbage,양배추
cabin,오두막; 선실
cabinet,장; 내각
cable,케이블; 전선
cafe,카페
cage,우리; 감금하다
cake,케이크
calculate,계산하다
calendar,달력
call,부르다; 전화하다; 요청
calm,차분한; 진정시키다
camera,카메라
camp,캠프; 야영하다
campaign,운동; 캠페인; 군사 행동
campus,캠퍼스; 교정
can,~할 수 있다; 깡통
cancel,취소하다
cancer,암; 종양
candidate,후보; 지원자
candle,양초
candy,사탕
canoe,카누
cap,모자; 뚜껑; 상한선
capable,능력 있는; ~할 수 있는
capacity,용량; 능력
capital,수도; 자본
captain,선장; 주장; 대장
capture,붙잡다; 포획하다
car,자동차
carbon,탄소
card,카드; 명함
care,돌봄; 관심; 주의
career,직업; 경력
careful,조심스러운; 신중한
careless,부주의한; 조심성 없는
cargo,화물
carpenter,목수
carpet,카펫; 양탄자
carriage,마차; 수송
carrier,운반자; 항공사; 통신사
carrot,당근
carry,운반하다; 나르다
cart,수레; 카트
cartoon,만화; 애니메이션
carve,조각하다; 새기다
case,경우; 사건; 용기
cash,현금
cassette,카세트
castle,성; 성곽
casual,평상복의; 우연한
cat,고양이
catalog,목록; 카탈로그
catch,잡다; 붙잡다; 이해하다
category,범주; 종류
cater,음식·서비스를 제공하다
cattle,소; 가축
cause,원인; 야기하다
caution,주의; 경고
cave,동굴
cease,그만두다; 중지하다
ceiling,천장
celebrate,축하하다; 기념하다
celebration,축하; 기념
celebrity,유명인; 연예인
cell,세포; 방; 독방; 셀
cemetery,묘지
cent,센트
center (centre),중심; 중앙
century,세기; 100년
ceremony,의식; 행사
certain,확실한; 어떤
certificate,증명서; 자격증
chain,사슬; 체인; 연속
chair,의자; 의장
chairman,의장; 회장
chalk,분필
challenge,도전; 난제; 도전하다
chamber,방; 실; 의회
champion,챔피언; 우승자; 옹호하다
chance,기회; 가능성
change,변화; 바꾸다; 거스름돈
channel,채널; 경로; 수로
chaos,혼란; 무질서
chapter,장(章); 시기
character,성격; 등장인물; 문자
characteristic,특징; 특성
charge,요금; 책임; 고발하다; 충전하다
charity,자선; 자비
charm,매력; 매혹; 부적
chart,차트; 도표; 기록
chase,추격하다; 쫓다; 추격
chat,대화하다; 채팅하다
cheap,값싼; 저렴한
cheat,속이다; 부정행위하다
check,확인하다; 점검하다; 수표
cheek,볼; 뺨
cheer,응원하다; 환호하다
cheerful,명랑한; 기분 좋은
cheese,치즈
chef,요리사; 주방장
chemical,화학의; 화학 물질
chemist,약사; 화학자
chemistry,화학
cherry,체리
chess,체스
chest,가슴; 흉부; 상자
chew,씹다
chicken,닭; 닭고기
chief,우두머리; 주요한
child,아이; 아동
childhood,어린 시절; 유년기
chimney,굴뚝
chin,턱
china,도자기; 중국
chip,조각; 감자칩; 칩(반도체)
chocolate,초콜릿
choice,선택
choose,선택하다
chorus,합창; 후렴
Christ,그리스도
Christian,기독교인; 기독교의
Christmas,크리스마스
church,교회; 예배당
cigarette,담배
cinema,영화관; 영화
circle,원; 동그라미; 둘러싸다
circumstance,상황; 환경
cite,인용하다; 언급하다
citizen,시민
city,도시
civil,시민의; 민간의; 정중한
civilization,문명
claim,주장하다; 요구하다; 청구
clap,박수 치다
clarify,명확하게 하다
clarity,명확성
clash,충돌하다; 충돌
class,수업; 반; 계급
classic,고전적인; 일류의
classical,고전의; 전통적인
classify,분류하다
classroom,교실
clause,절(문법); 조항
clay,점토; 찰흙
clean,깨끗한; 청소하다
clear,맑은; 분명한; 치우다
clerk,점원; 사무원
clever,영리한; 재치 있는
client,고객; 의뢰인
cliff,절벽
climate,기후
climb,오르다; 올라가다
clinic,진료소; 병원
clip,클립; 잘라내다; 영상 한 부분
clock,시계
close,닫다; 가까운; 친한
closet,옷장; 벽장
cloth,천; 옷감
clothes,옷
cloud,구름
club,클럽; 동아리
clue,실마리; 단서
cluster,무리; 집단
coach,코치; 지도자; 객차
coal,석탄
coast,해안
coat,코트; 외투
cocoa,코코아
coffee,커피
coin,동전; 화폐; (신조어를) 만들다
cold,추운; 감기
collapse,무너지다; 붕괴하다
collar,칼라; 옷깃
collect,모으다; 수집하다
collection,수집; 모음; 컬렉션
college,대학
colon,결장; 콜론(:)
colony,식민지; 군집
color (colour),색; 색깔; 색칠하다
column,기둥; 칼럼; 열(column)
comb,빗; 빗질하다
combat,전투; 싸우다
combine,결합하다; 합치다
come,오다
comedy,코미디; 희극
comfort,위로; 편안함; 위로하다
comfortable,편안한
comic,만화; 익살스러운
command,명령하다; 지휘하다; 명령
comment,논평; 의견
commerce,상업; 무역
commercial,상업적인; 광고
commission,위원회; 수수료; 의뢰하다
commit,저지르다; 약속하다; 헌신하다
commitment,약속; 전념; 헌신
committee,위원회
common,흔한; 공통의
communicate,의사소통하다
communication,의사소통; 통신
community,공동체; 지역사회
company,회사; 동료
compare,비교하다
comparison,비교
compass,나침반; 컴퍼스
compete,경쟁하다
competition,경쟁; 시합
competitive,경쟁의; 경쟁력 있는
complain,불평하다; 항의하다
complaint,불평; 불만 사항
complete,완전한; 완성하다
complex,복잡한; 콤플렉스; 단지
complicate,복잡하게 하다
complicated,복잡한
component,구성 요소; 부품
compose,구성하다; 작곡하다
composer,작곡가
composition,구성; 작문; 합성
comprehensive,포괄적인; 종합적인
compress,압축하다
compromise,타협하다; 타협
computer,컴퓨터
concentrate,집중하다
concentration,집중; 농도
concept,개념
concern,걱정; 관심사; 관련되다
concert,콘서트; 연주회
conclude,결론짓다; 끝내다
conclusion,결론; 종결
concrete,콘크리트; 구체적인
condition,상태; 조건
conduct,행동하다; 수행하다; 관리하다; 행동
conference,회의; 학회
confess,고백하다; 자백하다
confidence,자신감; 신뢰
confident,자신 있는; 확신하는
confirm,확인하다; 확정하다
conflict,갈등; 충돌; 충돌하다
confuse,혼동하다; 혼란스럽게 하다
confusion,혼란; 당황
congratulate,축하하다
congratulation,축하; 경축
connect,연결하다; 연결되다
connection,연결; 관련; 접속
conquer,정복하다; 이기다
conscience,양심
conscious,의식하는; 의식이 있는
consciousness,의식; 자각
consent,동의하다; 동의; 허가
consequence,결과; 중요성
conservative,보수적인; 전통적인
consider,고려하다; 숙고하다
considerable,상당한; 많은
consideration,고려; 배려
consist,구성되다; ~로 이루어지다
consistent,일관된; 한결같은
constant,지속적인; 일정한
constantly,끊임없이; 계속해서
construct,건설하다; 구성하다
construction,건설; 구조
consult,상담하다; 자문을 구하다
consume,소비하다; 먹다
consumer,소비자
contact,연락; 접촉; 연락하다
contain,포함하다; 담고 있다
container,용기; 컨테이너
contemporary,현대의; 동시대의
content,내용; 만족한
contest,경연; 대회; 경쟁하다
context,문맥; 상황
continent,대륙
continue,계속하다; 지속되다
continuous,계속적인; 연속적인
contract,계약; 수축하다; 계약하다
contrast,대조; 대비
contribute,기여하다; 공헌하다
control,통제하다; 제어하다; 통제
convenience,편의; 편리
convenient,편리한; 간편한
convention,관습; 대회; 협약
conversation,대화; 회화
convert,전환하다; 개조하다
convince,납득시키다; 확신시키다
cook,요리하다; 요리사
cookie,쿠키; 과자
cooking,요리; 조리
cool,시원한; 멋진; 식히다
cooperate,협력하다; 협동하다
cooperation,협력; 협조
cope,대처하다; 맞서다
copy,복사하다; 복사본
coral,산호
cord,끈; 전선
core,핵심; 중심부
corn,옥수수
corner,모서리; 구석
corporate,기업의; 법인의
correct,맞는; 올바른; 수정하다
correspond,일치하다; 대응하다; 서신을 주고받다
corridor,복도; 회랑
cost,비용; 비용이 들다
costume,의상; 복장
cottage,오두막집; 시골집
cotton,면; 목화
cough,기침하다; 기침
could,~할 수 있었다 (can의 과거)
council,의회; 협의회
count,세다; 계산하다; 중요하다
counter,계산대; 반대의; 반박하다
country,나라; 시골
countryside,시골 지역
county,카운티; 지역 행정구역
courage,용기; 담력
course,강의; 과정; 코스; 진로
court,법정; 궁정; 코트
cousin,사촌
cover,덮다; 덮개; 포함하다
cow,암소
coward,겁쟁이
crack,금 가다; 깨지다; 균열
craft,공예; 기술; 만들다
crash,추락하다; 충돌하다; 고장 나다
crawl,기어가다; 서행하다
crazy,미친; 말도 안 되는
cream,크림; 크림색
create,창조하다; 만들다
creation,창조; 생성물
creative,창의적인
creature,생명체; 동물
credit,신용; 학점; 믿음; 칭찬
crew,승무원; 작업반
crime,범죄; 죄
criminal,범인; 범죄의
crisis,위기
crisp,바삭바삭한; 상쾌한
critic,비평가; 비난하는 사람
critical,비판적인; 중대한
criticism,비판; 비평
criticize,비판하다; 비난하다
crop,작물; 수확량
cross,건너다; 십자형; 교차하다
crowd,군중; 붐비다
crown,왕관; 왕위
crucial,중요한; 결정적인
cruel,잔인한; 잔혹한
crush,으깨다; 짓누르다
cry,울다; 외치다
crystal,수정; 결정
cube,정육면체; 입방체
cultivate,경작하다; 재배하다; 계발하다
culture,문화
cup,컵; 잔
cupboard,찬장; 벽장
cure,치료하다; 치료
curious,호기심 많은; 궁금한
curiosity,호기심
curl,곱슬곱슬하게 하다; 말리다
currency,통화; 화폐
current,현재의; 흐름; 전류
curse,저주하다; 욕하다
curve,곡선; 굽이
custom,관습; 세관(customs); 주문 제작(custom)
customer,고객; 손님
cut,자를다; 감축하다; 베다; 삭감
cycle,순환; 자전거; 주기
dad (daddy),아빠; 아버지
daily,매일의; 일상의
damage,손상; 피해; 손상시키다
damp,축축한
dance,춤추다; 춤
danger,위험
dangerous,위험한
dare,감히 ~하다; 도전하다
dark,어두운; 짙은
darkness,어둠
darling,사랑하는 사람; 여보; 자기
data,데이터; 자료
database,데이터베이스
date,날짜; 데이트; 대추야자
daughter,딸
dawn,새벽; 동틀 녘
day,날; 하루
daylight,일광; 낮
dead,죽은; 생명이 없는
deadly,치명적인; 몹시
deaf,귀가 먹은
deal,거래; 처리하다; 다루다
dear,친애하는; 소중한
death,죽음
debate,토론하다; 토론
debt,빚; 부채
decade,10년; 10년간
decay,부패하다; 썩다; 쇠퇴
deceive,속이다
December,12월
decent,괜찮은; 품위 있는
decide,결정하다
decision,결정; 결단
declare,선언하다; 공표하다
decline,감소하다; 쇠퇴하다; 거절하다
decorate,장식하다; 꾸미다
decoration,장식; 장식품
decrease,줄다; 감소하다; 감소
dedicate,헌신하다; 바치다
deduction,공제; 연역
deed,행위; 업적
deep,깊은; 심오한
deer,사슴
defeat,패배시키다; 이기다; 패배
defend,방어하다; 지키다
defense (defence),방어; 수비
defensive,방어적인
deficiency,부족; 결핍
define,정의하다; 규정하다
definite,명확한; 확실한
definition,정의; 의미
degree,정도; 학위; 도(각도·온도)
delay,지연; 미루다
delete,삭제하다
deliberate,고의의; 신중한; 심사숙고하다
delicate,섬세한; 민감한
delicious,맛있는
delight,기쁨; 기쁘게 하다
deliver,배달하다; 전달하다
delivery,배달; 분만
demand,요구하다; 수요
democracy,민주주의
democratic,민주적인
demon,악마; 귀신
demonstrate,설명하다; 시연하다; 증명하다
dense,빽빽한; 밀도가 높은
density,밀도
deny,부인하다; 거절하다
depart,출발하다; 떠나다
department,부서; 학과; 백화점 매장
departure,출발
depend,의존하다; 달려 있다
dependent,의존적인
deposit,예금하다; 보증금; 침전물
depress,우울하게 하다; 하락시키다
depth,깊이; 심도
describe,묘사하다; 설명하다
description,설명; 묘사
desert,사막; 버리다
deserve,~할 가치가 있다; 받을 만하다
design,설계하다; 디자인; 고안하다
designer,디자이너; 설계자
desire,욕망; 바람; 바라다
desk,책상; 사무실
despair,절망; 절망하다
desperate,절박한; 필사적인
despite,~에도 불구하고
destination,목적지; 도착지
destroy,파괴하다; 없애다
destruction,파괴; 파멸
detail,세부사항; 자세히 설명하다
detailed,자세한
detect,감지하다; 발견하다
detective,형사; 탐정
determination,결심; 결단력
determine,결정하다; 규명하다
develop,발전하다; 개발하다
development,발달; 발전; 개발
device,장치; 기기
devil,악마
devote,헌신하다; 바치다
diagram,도표; 다이어그램
dial,전화를 걸다; 다이얼
dialogue,대화; 대사
diameter,지름
diary,일기
dictionary,사전
die,죽다
diet,식단; 다이어트
differ,다르다; 의견이 다르다
difference,차이
different,다른; 다양한
difficult,어려운
difficulty,어려움; 곤란
dig,파다; 캐다
digital,디지털의
dignity,존엄; 품위
dilemma,딜레마; 궁지
dimension,차원; 크기; 규모
dine,식사하다
dinner,저녁식사
dip,담그다; 살짝 적시다
diploma,졸업장; 자격증
direct,직접적인; 지시하다; 감독하다
direction,방향; 지시
director,감독; 이사; 관리자
dirt,흙; 먼지
dirty,더러운
disable,무능하게 하다; 장애를 입히다
disagree,동의하지 않다
disappear,사라지다; 없어지다
disappoint,실망시키다
disaster,재난; 참사
discard,버리다; 폐기하다
discourage,낙담시키다; 좌절시키다
discover,발견하다
discovery,발견; 발굴
discuss,토론하다; 논의하다
discussion,토론; 논의
disease,질병
disgust,역겹게 하다; 혐오감
dish,접시; 요리
dismiss,해고하다; 무시하다; 기각하다
disorder,장애; 무질서
display,전시하다; 표시하다; 전시
distance,거리; 간격
distant,먼; 멀리 있는
distinct,뚜렷한; 별개의
distinguish,구별하다; 식별하다
distress,괴로움; 고통
distribute,분배하다; 유통하다
district,구역; 지역
disturb,방해하다; 어지럽히다
dive,잠수하다; 뛰어들다
diverse,다양한
diversity,다양성
divide,나누다; 분리하다
division,분할; 부서; 나눗셈
divorce,이혼; 이혼하다
dizzy,어지러운
do,하다; 해내다
docile,온순한; 다루기 쉬운
doctor,의사; 박사
document,문서; 서류
documentary,다큐멘터리
dog,개
dogma,신조; 독단적인 신념
doll,인형
dollar,달러
domain,영역; 분야; 도메인
domestic,가정의; 국내의
dominant,지배적인; 우세한
dominate,지배하다; 장악하다
donate,기부하다; 기증하다
donation,기부; 기증품
donkey,당나귀
doom,파멸; 비운; 운명
door,문
dose,복용량; 투여하다
dot,점; 찍다
double,두 배의; 이중의
doubt,의심; 의심하다
dough,반죽
down,아래로; 내려가는
dozen,1다스(12개)
draft,초안; 선발하다
drag,끌다; 끌고 가다
drain,배수하다; 물을 빼다
drama,드라마; 연극
dramatic,극적인; 인상적인
draw,그리다; 끌다
drawer,서랍
drawing,그림; 제도
dream,꿈; 꿈꾸다
dress,옷; 드레스; 옷을 입다
drift,표류하다; 떠돌다
drill,드릴; 훈련하다; 구멍을 뚫다
drink,마시다; 음료
drive,운전하다; 몰다
driver,운전자
drop,떨어뜨리다; 떨어지다; 하락
drought,가뭄
drown,익사하다; 물에 빠뜨리다
drug,약물; 약; 마약
drum,북; 드럼
drunk,취한
dry,건조한; 말리다
duck,오리
due,만기의; ~때문에(due to)
dull,지루한; 칙칙한; 둔한
dumb,멍청한; 말을 못하는
dump,버리다; 던져놓다
during,~동안에
dust,먼지; 가루; 털다
duty,의무; 임무; 관세
dwell,살다; 거주하다
dye,염색하다; 염료
dynamic,역동적인; 활발한
eager,열망하는; 간절히 바라는
eagle,독수리
ear,귀
early,일찍; 초기의
earn,벌다; 얻다
earnest,진지한; 성실한
earth,지구; 땅; 흙
earthquake,지진
ease,쉬움; 편안함; 덜어주다
east,동쪽
eastern,동쪽의; 동양의
easy,쉬운
eat,먹다
echo,메아리; 반향
ecology,생태학
economic,경제의
economical,경제적인; 절약하는
economy,경제; 절약
edge,가장자리; 모서리; 우위
edit,편집하다
edition,판; 간행물
editor,편집자
educate,교육하다
education,교육
effect,영향; 효과
effective,효과적인
efficiency,효율성
efficient,효율적인
effort,노력
egg,달걀
ego,자아; 자존심
eight,여덟
eighth,여덟 번째
either,둘 중 하나; ~거나
elaborate,정교한; 상세한; 자세히 설명하다
elbow,팔꿈치
elder,연장자; 나이가 더 많은
elect,선출하다
election,선거
electric,전기의; 전기를 이용하는
electrical,전기와 관련된
electricity,전기
electronic,전자식의
electronics,전자공학; 전자기기
elegant,우아한; 세련된
element,요소; 성분; 원소
elephant,코끼리
elevator,엘리베이터
eleven,열한
eligible,자격이 있는; 적격의
eliminate,제거하다; 없애다
elite,엘리트; 최상류층
else,그 밖의; 다른
elsewhere,어딘가에; 다른 곳에
embarrass,당황하게 하다; 난처하게 하다
embassy,대사관
embrace,포옹하다; 받아들이다
emerge,나오다; 나타나다; 생겨나다
emergency,비상사태
emotion,감정; 정서
emotional,감정적인; 정서적인
emphasis,강조; 중점
emphasize,강조하다
empire,제국
employ,고용하다
employee,직원; 피고용인
employer,고용주
employment,고용; 직업
empty,빈; 비우다
enable,가능하게 하다
encounter,우연히 만나다; 맞닥뜨리다; 만남
encourage,격려하다; 장려하다
end,끝; 종료하다
ending,결말; 끝맺음
endless,끝없는; 무한한
endorse,지지하다; 승인하다
enemy,적; 원수
energy,에너지; 힘
engage,참여하다; 약혼하다; 관여하다
engagement,약혼; 참여; 관여
engine,엔진; 기관
engineer,엔지니어; 기술자
engineering,공학; 기술
engineer,엔지니어; 기술자
enhance,향상시키다; 강화하다
enjoy,즐기다
enlarge,확대하다; 크게 하다
enormous,거대한; 막대한
enough,충분한; 충분히
ensure,보장하다; 확실히 하다
enter,들어가다; 입력하다
enterprise,기업; 사업; 진취성
entertain,즐겁게 하다; 대접하다
entertainment,오락; 연예; 환대
enthusiasm,열정; 열광
enthusiastic,열정적인; 열렬한
entire,전체의; 완전한
entitle,권리를 주다; 제목을 붙이다
entrance,입구; 입장
entry,입장; 기입; 항목
envelope,봉투
environment,환경; 주변 상황
